camera,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s,ego_vx
1759902465823761502,5.783,14.832,-0.03,0.1863,1.4557,14.6697
1759902465825585586,5.752,14.845,-0.04,0.133,1.4356,14.6653
1759902465850649069,5.215,16.423,16.68,0.1134,1.3172,14.5965
1759902465899352683,5.008,17.585,26.78,0.1099,0.9921,14.5289
1759902465986801311,4.711,15.145,3.96,0.1257,0.8158,14.331
1759902466021641707,4.61,15.126,11.96,0.115,0.6961,14.2582
1759902466078617729,4.492,14.761,7.29,0.1158,0.6128,14.1386
1759902466128977688,4.403,14.601,4.4,0.113,0.5514,14.0692
1759902466177300787,4.419,15.173,-1.22,0.11,0.5042,13.9888
1759902466228968687,4.661,15.722,-1.43,0.1086,0.4716,13.9087
1759902466277911998,4.724,16.098,-2.28,0.1068,0.4476,13.8645
1759902466324885947,4.636,16.175,-3.78,0.1049,0.4291,13.782
1759902466373107272,4.591,16.223,-4.57,0.1039,0.4162,13.6567
1759902466411003830,4.659,16.768,-3.53,0.1007,0.4055,13.6103
1759902466463438000,4.792,16.375,-2.91,0.1023,0.4024,13.5185
1759902466511390243,5.037,16.266,-1.51,0.102,0.3986,13.4017
1759902466560086983,4.987,16.93,2.24,0.102,0.3961,13.3429
1759902466605264380,4.981,17.438,5.01,0.1011,0.3929,13.277
1759902466653775437,4.953,17.035,5.1,0.1013,0.3921,13.2457
1759902466722405979,5.048,16.14,6.1,0.1059,0.3975,13.1874
1759902466777208551,5.167,15.975,4.93,0.1053,0.3957,13.1797
1759902466841842981,5.0,15.342,6.13,0.107,0.3977,13.1555
1759902466885798140,5.153,15.986,0.52,0.1033,0.3907,13.3019
1759902466939382711,4.963,15.434,1.92,0.1034,0.3908,13.3666
1759902466984388591,5.242,15.793,-0.57,0.1015,0.3874,13.4217
1759902467051417793,5.079,15.735,-1.56,0.1053,0.3922,13.5212
1759902467100039431,4.942,15.715,-2.5,0.1034,0.3887,13.5647
1759902467137864593,4.842,15.49,2.91,0.0999,0.3846,13.5944
1759902467173286907,4.769,15.494,4.55,0.0972,0.3818,13.6204
1759902467218314229,4.733,15.511,5.93,0.098,0.3838,13.6903
