camera,kf_distance,kf_velocity,ego_vx
1759902465823761502,7.74,0.0,14.6697
1759902465825585586,7.74,0.0,14.6653
1759902465850649069,7.7059,-0.0147,14.5965
1759902465899352683,7.6727,-0.0559,14.5289
1759902465986801311,7.6277,-0.1442,14.331
1759902466021641707,7.6007,-0.1903,14.2582
1759902466078617729,7.5647,-0.2442,14.1386
1759902466128977688,7.5015,-0.3492,14.0692
1759902466177300787,7.4266,-0.4623,13.9888
1759902466228968687,7.3877,-0.49,13.9087
1759902466277911998,7.3625,-0.4923,13.8645
1759902466324885947,7.3328,-0.503,13.782
1759902466373107272,7.3693,-0.4087,13.6567
1759902466411003830,7.385,-0.3641,13.6103
1759902466463438000,7.4097,-0.3026,13.5185
1759902466511390243,7.4421,-0.239,13.4017
1759902466560086983,7.4658,-0.1928,13.3429
1759902466605264380,7.509,-0.1279,13.277
1759902466653775437,7.5369,-0.0864,13.2457
1759902466722405979,7.5568,-0.0536,13.1874
1759902466777208551,7.5852,-0.0153,13.1797
1759902466841842981,7.6124,0.0191,13.1555
1759902466885798140,7.6441,0.0539,13.3019
1759902466939382711,7.6861,0.0969,13.3666
1759902466984388591,7.7279,0.1357,13.4217
1759902467051417793,7.7826,0.1851,13.5212
1759902467100039431,7.832,0.2267,13.5647
1759902467137864593,7.8649,0.2499,13.5944
1759902467173286907,7.8937,0.2676,13.6204
1759902467218314229,7.9401,0.2981,13.6903
1759902467266452666,7.9773,0.3187,13.761
1759902467316159471,7.9982,0.3234,13.8136
1759902467363399146,8.0185,0.3279,13.8538
1759902467415090992,8.0186,0.3122,13.8779
1759902467456489901,8.019,0.301,13.9231
1759902467505473469,8.0205,0.2891,13.98
1759902467555902679,8.0305,0.2849,14.0241
1759902467607793394,8.0375,0.2777,14.0691
1759902467697486368,8.0713,0.2871,14.1663
1759902467729519637,8.0711,0.2783,14.2008
1759902467772397273,8.073,0.2693,14.2428
1759902467822090602,8.0753,0.2595,14.2836
1759902467864880591,8.1418,0.3072,14.3156
1759902467913010683,8.3477,0.4726,14.3598
1759902467963638452,8.91,0.9449,14.4165
1759902468016606038,9.1914,1.1516,14.5034
1759902468064247338,9.2535,1.158,14.5419
1759902468114961121,9.1687,1.0307,14.6351
1759902468157800484,8.9829,0.8332,14.7118
1759902468203644241,8.7832,0.6302,14.7989
1759902468256315763,8.6176,0.4558,14.9176
1759902468304425055,8.4793,0.3157,15.0105
1759902468354913619,8.3481,0.1859,15.0719
1759902468404533167,8.2307,0.0741,15.1384
1759902468449244406,8.1453,-0.0025,15.2345
1759902468499270890,8.0952,-0.0461,15.3663
1759902468549353721,8.0496,-0.0842,15.4619
1759902468599581098,8.1226,-0.0159,15.5647
1759902468671574205,8.246,0.104,15.7098
1759902468721779900,8.3685,0.2131,15.8056
1759902468770689065,8.4376,0.2662,15.923
1759902468821026492,8.4905,0.3014,16.0506
1759902468872074662,8.5255,0.3187,16.167
1759902468919873452,8.5314,0.3106,16.2696
1759902468984536366,8.5417,0.3017,16.4466
1759902469009393045,8.5226,0.2804,16.519
1759902469077802566,8.5168,0.258,16.692
1759902469130202521,8.4873,0.2197,16.8148
1759902469158983965,8.4658,0.1975,16.8816
1759902469203882361,8.4405,0.1701,16.9889
1759902469253966174,8.3955,0.1257,17.1058
1759902469303823726,8.3411,0.0744,17.1837
1759902469355939449,8.28,0.0181,17.2906
1759902469400130988,8.2174,-0.0356,17.3757
1759902469449186252,8.1717,-0.0732,17.5076
1759902469499282499,8.1203,-0.1146,17.6322
1759902469549289225,8.0466,-0.1739,17.7709
1759902469631897002,7.9746,-0.2309,17.9636
1759902469678134849,7.9193,-0.2724,18.0852
1759902469726791874,7.8642,-0.3101,18.1608
1759902469778661058,7.8058,-0.3478,18.2988
1759902469824176288,7.7505,-0.3818,18.4266
1759902469872922593,7.698,-0.4108,18.5456
1759902469922838787,7.6479,-0.4361,18.6605
1759902469975420238,7.6053,-0.4532,18.7983
1759902470014558992,7.5673,-0.4699,18.9034
1759902470062783273,7.5282,-0.4835,18.9935
1759902470109666429,7.4859,-0.4999,19.0936
1759902470153822440,7.4477,-0.5132,19.1743
1759902470200299082,7.4108,-0.524,19.2715
1759902470254843752,7.3755,-0.5298,19.4152
