camera,lidar_ts,radar_ts,distance_m
1759902465823761502,1759902465824603085,1759902465823226422,7.74
1759902465825585586,1759902465824603085,1759902465823226422,7.74
1759902465850649069,1759902465827322765,1759902465865892656,7.65
1759902465899352683,1759902465874480595,1759902465865892656,7.61
1759902465986801311,1759902465971447313,1759902465985752824,7.56
1759902466021641707,1759902466022600714,1759902466049631945,7.56
1759902466078617729,1759902466074630183,1759902466105360230,7.52
1759902466128977688,1759902466125780928,1759902466105360230,7.41
1759902466177300787,1759902466173712452,1759902466169537779,7.32
1759902466228968687,1759902466224069084,1759902466225521160,7.36
1759902466277911998,1759902466274720999,1759902466291786787,7.36
1759902466324885947,1759902466321164769,1759902466345422246,7.32
1759902466373107272,1759902466372533850,1759902466345422246,7.49
1759902466411003830,1759902466428719837,1759902466413207618,7.45
1759902466463438000,1759902466477355962,1759902466468015750,7.5
1759902466511390243,1759902466523405670,1759902466533167746,7.54
1759902466560086983,1759902466573649228,1759902466585609971,7.54
1759902466605264380,1759902466626688020,1759902466585609971,7.62
1759902466653775437,1759902466672447836,1759902466650656837,7.61
1759902466722405979,1759902466723664928,1759902466705829423,7.61
1759902466777208551,1759902466775501028,1759902466770310321,7.65
1759902466841842981,1759902466821844637,1759902466827108614,7.67
1759902466885798140,1759902466873088971,1759902466892438429,7.71
1759902466939382711,1759902466928790314,1759902466948327931,7.77
1759902466984388591,1759902466972702140,1759902467014095349,7.81
1759902467051417793,1759902467075724304,1759902467065683027,7.88
1759902467100039431,1759902467122112106,1759902467065683027,7.92
1759902467137864593,1759902467122112106,1759902467137554763,7.92
1759902467173286907,1759902467174438952,1759902467187636041,7.94
1759902467218314229,1759902467229589426,1759902467187636041,8.02
1759902467266452666,1759902467272028156,1759902467250252968,8.03
1759902467316159471,1759902467328100777,1759902467305927039,8.01
1759902467363399146,1759902467377901080,1759902467370231521,8.03
1759902467415090992,1759902467422215513,1759902467425999411,7.98
1759902467456489901,1759902467473540711,1759902467425999411,7.99
1759902467505473469,1759902467525429703,1759902467492073263,7.99
1759902467555902679,1759902467570943360,1759902467546312381,8.02
1759902467607793394,1759902467622926341,1759902467610259031,8.02
1759902467697486368,1759902467673580851,1759902467665656967,8.09
1759902467729519637,1759902467725188336,1759902467733715960,8.05
1759902467772397273,1759902467771682291,1759902467786573477,8.05
1759902467822090602,1759902467823257635,1759902467853783543,8.05
1759902467864880591,1759902467876118989,1759902467853783543,8.27
1759902467913010683,1759902467925034196,1759902467906154262,8.79
1759902467963638452,1759902467971039079,1759902467973783016,10.15
1759902468016606038,1759902468022924885,1759902468026899325,9.72
1759902468064247338,1759902468073446030,1759902468092293112,9.27
1759902468114961121,1759902468125924094,1759902468092293112,8.84
1759902468157800484,1759902468175443252,1759902468146363939,8.45
1759902468203644241,1759902468222127930,1759902468213765400,8.23
1759902468256315763,1759902468272206292,1759902468266136550,8.16
1759902468304425055,1759902468323517934,1759902468330234408,8.11
1759902468354913619,1759902468376847760,1759902468330234408,8.01
