camera,ego_x,ego_y,target_x_world,target_y_world,target_vx_world,target_vy_world,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s
1759902465823761408,0.0,0.0,3.432,4.655,7.459,12.82,5.783,14.832,-0.03,0.1863,1.4557
1759902465825585664,0.014,0.023,3.462,4.626,7.475,12.826,5.752,14.845,-0.04,0.133,1.4356
1759902465850649088,0.207,0.336,2.809,4.855,3.991,15.931,5.215,16.423,16.68,0.1134,1.3172
1759902465899352576,0.586,0.937,2.518,5.558,1.535,17.518,5.008,17.585,26.78,0.1099,0.9921
1759902465986801408,1.286,1.999,3.641,6.079,7.488,13.164,4.711,15.145,3.96,0.1257,0.8158
1759902466021641728,1.573,2.407,3.464,6.612,5.755,13.989,4.61,15.126,11.96,0.115,0.6961
1759902466078617856,2.046,3.068,4.034,7.096,6.979,13.007,4.492,14.761,7.29,0.1158,0.6128
1759902466128977664,2.475,3.637,4.562,7.513,7.757,12.37,4.403,14.601,4.4,0.113,0.5514
1759902466177300736,2.894,4.172,5.367,7.834,9.503,11.829,4.419,15.173,-1.22,0.11,0.5042
1759902466228968704,3.349,4.734,6.047,8.535,10.129,12.024,4.661,15.722,-1.43,0.1086,0.4716
1759902466277912064,3.787,5.255,6.673,8.995,10.771,11.964,4.724,16.098,-2.28,0.1068,0.4476
1759902466324886016,4.215,5.747,7.28,9.225,11.353,11.522,4.636,16.175,-3.78,0.1049,0.4291
1759902466373107200,4.663,6.238,7.88,9.514,11.749,11.186,4.591,16.223,-4.57,0.1039,0.4162
1759902466411003904,5.02,6.613,8.277,9.945,12.107,11.601,4.659,16.768,-3.53,0.1007,0.4055
1759902466463438080,5.521,7.121,8.955,10.464,11.939,11.207,4.792,16.375,-2.91,0.1023,0.4024
1759902466511390208,5.986,7.573,9.571,11.112,11.791,11.205,5.037,16.266,-1.51,0.102,0.3986
1759902466560087040,6.465,8.018,9.789,11.736,11.717,12.22,4.987,16.93,2.24,0.102,0.3961
1759902466605264384,6.916,8.418,10.054,12.287,11.683,12.947,4.981,17.438,5.01,0.1011,0.3929
1759902466653775360,7.406,8.837,10.556,12.659,11.621,12.456,4.953,17.035,5.1,0.1013,0.3921
1759902466722405888,8.104,9.42,11.253,13.366,11.103,11.714,5.048,16.14,6.1,0.1059,0.3975
