camera,lidar,radar,distance_m,velocity_m_s
1759902465823761502,1759902465824603085,1759902465823226422,7.74,0.0
1759902465825585586,1759902465824603085,1759902465823226422,7.74,0.0
1759902465850649069,1759902465827322765,1759902465865892656,7.65,-3.59
1759902465899352683,1759902465874480595,1759902465865892656,7.61,-0.82
1759902465986801311,1759902465971447313,1759902465985752824,7.56,-0.57
1759902466021641707,1759902466022600714,1759902466049631945,7.56,0.0
1759902466078617729,1759902466074630183,1759902466105360230,7.52,-0.7
1759902466128977688,1759902466125780928,1759902466105360230,7.41,-2.18
1759902466177300787,1759902466173712452,1759902466169537779,7.32,-1.86
1759902466228968687,1759902466224069084,1759902466225521160,7.36,0.77
1759902466277911998,1759902466274720999,1759902466291786787,7.36,0.0
1759902466324885947,1759902466321164769,1759902466345422246,7.32,-0.85
1759902466373107272,1759902466372533850,1759902466345422246,7.49,3.53
1759902466411003830,1759902466428719837,1759902466413207618,7.45,-1.06
1759902466463438000,1759902466477355962,1759902466468015750,7.5,0.95
1759902466511390243,1759902466523405670,1759902466533167746,7.54,0.83
1759902466560086983,1759902466573649228,1759902466585609971,7.54,0.0
1759902466605264380,1759902466626688020,1759902466585609971,7.62,1.77
1759902466653775437,1759902466672447836,1759902466650656837,7.61,-0.21
1759902466722405979,1759902466723664928,1759902466705829423,7.61,0.0
